tag	algorithm	attack	dataset	num_clients	adv_clients	join_ratio	model	local_lr	lr_head	local_epochs	plocal_epochs	rounds	eval_gap	purpose
FEDREP_RP_OLD_BADNET_ADV10	FedRep	badnet	Cifar10_dir0.5_bdoor0.2_nclient_100_badnet_adv10	100	10	0.1	ResNetP	0.003	0.005	1	1	600	10	critical_control_for_resnetp_attack_strength
FEDREP_RP_HILR_BADNET_ADV10	FedRep	badnet	Cifar10_dir0.5_bdoor0.2_nclient_100_badnet_adv10	100	10	0.1	ResNetP	0.1	0.1	1	1	600	10	optimizer_sensitivity_control_for_resnetp_attack_strength
