tag	algorithm	attack	dataset	num_clients	adv_clients	join_ratio	model	local_lr	lr_head	local_epochs	plocal_epochs	rounds	eval_gap	rt_beta	lambda_cl	aug_strength	mask_tau	mask_alpha	purpose
HIT_REP_R18_CONFIRM	FedRep	badnet	Cifar10_dir0.5_bdoor0.2_nclient_100_badnet_adv10	100	10	0.1	ResNet18	0.1	0.1	1	1	600	10						fresh_current_code_confirm_fedrep_hit
HIT_CLCM_R18_BASE	FedCLCM	badnet	Cifar10_dir0.5_bdoor0.2_nclient_100_badnet_adv10	100	10	0.1	ResNet18	0.1	0.1	1	1	600	10	0.2	0.2	0.1	12.0	0.7	fresh_current_code_clcm_baseline_for_purify
